nowtime,current_price,old_price,price_per_unit,product_name,brand,vendor,month
2024-05-13T14:00:00Z,17.71,18.4,11.81,Classic Olive Oil 2L,BrandB,Walmart,05
2024-11-28T20:00:00Z,39.75,56.31,39.75,Extra Virgin Olive Oil 500ml,BrandE,Metro,11
2024-06-15T10:00:00Z,30.4,34.9,60.8,Classic Olive Oil 2L,BrandB,Metro,06
2024-12-14T05:00:00Z,10.22,13.57,20.44,Organic Olive Oil 750ml,BrandC,Walmart,12
2024-01-10T00:00:00Z,25.72,37.5,12.86,Premium Olive Oil 1L,BrandD,Loblaws,01
2024-12-05T20:00:00Z,34.71,37.58,23.14,Extra Virgin Olive Oil 500ml,BrandB,Walmart,12
2024-09-15T23:00:00Z,30.69,41.22,20.46,Pure Olive Oil 1L,BrandB,Metro,09
2024-12-31T19:00:00Z,21.19,27.39,42.38,Extra Virgin Olive Oil 500ml,BrandA,Metro,12
2024-03-07T14:00:00Z,22.89,24.78,15.26,Extra Virgin Olive Oil 500ml,BrandA,Loblaws,03
2024-06-25T12:00:00Z,24.47,22.34,16.31,Extra Virgin Olive Oil 500ml,BrandA,Walmart,06
2024-06-13T00:00:00Z,12.03,13.59,12.03,Classic Olive Oil 2L,BrandC,Walmart,06
2024-06-19T08:00:00Z,36.12,37.99,72.24,Extra Virgin Olive Oil 500ml,BrandA,Loblaws,06
2024-05-01T02:00:00Z,10.4,12.68,20.8,Pure Olive Oil 1L,BrandD,Walmart,05
2024-01-13T05:00:00Z,25.46,33.12,25.46,Pure Olive Oil 1L,BrandE,Walmart,01
2024-12-18T20:00:00Z,21.83,23.47,10.91,Organic Olive Oil 750ml,BrandE,Loblaws,12
2024-01-02T16:00:00Z,11.9,14.07,5.95,Classic Olive Oil 2L,BrandE,Walmart,01
2024-12-20T11:00:00Z,39.24,44.25,26.16,Classic Olive Oil 2L,BrandB,Walmart,12
2024-11-03T22:00:00Z,16.17,15.52,10.78,Extra Virgin Olive Oil 500ml,BrandB,Loblaws,11
2024-10-04T23:00:00Z,6.57,6.62,3.29,Extra Virgin Olive Oil 500ml,BrandD,Loblaws,10
2024-10-30T11:00:00Z,31.38,44.15,31.38,Organic Olive Oil 750ml,BrandA,Loblaws,10
2024-04-14T07:00:00Z,24.84,29.4,24.84,Premium Olive Oil 1L,BrandB,Metro,04
2024-10-07T21:00:00Z,5.34,7.62,10.68,Extra Virgin Olive Oil 500ml,BrandD,Walmart,10
2024-12-22T21:00:00Z,15.53,21.82,7.76,Organic Olive Oil 750ml,BrandB,Metro,12
2024-09-12T08:00:00Z,35.22,35.37,23.48,Extra Virgin Olive Oil 500ml,BrandB,Metro,09
2024-07-11T03:00:00Z,13.13,17.53,6.57,Classic Olive Oil 2L,BrandC,Walmart,07
2024-03-29T04:00:00Z,7.05,8.15,3.52,Pure Olive Oil 1L,BrandB,Loblaws,03
2024-09-12T13:00:00Z,29.89,37.4,14.95,Organic Olive Oil 750ml,BrandA,Walmart,09
2024-02-01T10:00:00Z,22.81,31.03,15.21,Extra Virgin Olive Oil 500ml,BrandE,Metro,02
2024-09-30T00:00:00Z,19.17,27.9,12.78,Pure Olive Oil 1L,BrandD,Loblaws,09
2024-08-14T03:00:00Z,19.86,27.48,19.86,Organic Olive Oil 750ml,BrandB,Loblaws,08
2024-10-23T22:00:00Z,36.99,54.2,36.99,Extra Virgin Olive Oil 500ml,BrandA,Metro,10
2024-05-19T21:00:00Z,36.57,39.46,18.28,Classic Olive Oil 2L,BrandA,Walmart,05
2024-06-14T19:00:00Z,12.63,11.38,6.32,Pure Olive Oil 1L,BrandD,Loblaws,06
2024-05-14T13:00:00Z,25.12,25.47,16.75,Pure Olive Oil 1L,BrandE,Loblaws,05
2024-08-21T10:00:00Z,6.42,8.64,3.21,Classic Olive Oil 2L,BrandD,Loblaws,08
2024-07-09T15:00:00Z,23.92,30.64,23.92,Classic Olive Oil 2L,BrandE,Walmart,07
2024-06-06T14:00:00Z,8.95,10.77,5.97,Pure Olive Oil 1L,BrandA,Walmart,06
2024-11-22T06:00:00Z,31.51,28.88,15.76,Pure Olive Oil 1L,BrandB,Loblaws,11
2024-09-05T14:00:00Z,8.89,8.33,4.44,Organic Olive Oil 750ml,BrandA,Walmart,09
2024-11-21T15:00:00Z,12.14,12.17,6.07,Classic Olive Oil 2L,BrandB,Metro,11
2024-02-27T17:00:00Z,31.87,47.69,21.25,Classic Olive Oil 2L,BrandC,Walmart,02
2024-07-15T01:00:00Z,19.78,27.06,39.56,Premium Olive Oil 1L,BrandD,Loblaws,07
2024-04-09T01:00:00Z,24.14,29.29,24.14,Classic Olive Oil 2L,BrandC,Walmart,04
2024-06-17T11:00:00Z,35.82,33.19,71.64,Extra Virgin Olive Oil 500ml,BrandB,Metro,06
2024-01-29T13:00:00Z,30.47,32.36,15.23,Organic Olive Oil 750ml,BrandE,Metro,01
2024-09-10T05:00:00Z,31.35,30.38,31.35,Pure Olive Oil 1L,BrandD,Loblaws,09
2024-07-28T10:00:00Z,26.03,34.71,26.03,Pure Olive Oil 1L,BrandD,Metro,07
2024-09-23T02:00:00Z,8.54,9.76,5.69,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,09
2024-10-30T08:00:00Z,33.92,48.56,22.61,Pure Olive Oil 1L,BrandD,Metro,10
2024-07-15T10:00:00Z,30.84,34.81,15.42,Organic Olive Oil 750ml,BrandD,Metro,07
2024-01-07T06:00:00Z,35.9,41.52,35.9,Pure Olive Oil 1L,BrandE,Walmart,01
2024-10-10T17:00:00Z,7.95,7.34,3.98,Organic Olive Oil 750ml,BrandD,Walmart,10
2024-12-06T13:00:00Z,34.03,39.81,68.06,Extra Virgin Olive Oil 500ml,BrandB,Metro,12
2024-10-14T22:00:00Z,14.62,19.25,7.31,Classic Olive Oil 2L,BrandA,Metro,10
2024-04-01T23:00:00Z,16.7,23.13,8.35,Premium Olive Oil 1L,BrandD,Metro,04
2024-02-12T20:00:00Z,36.05,35.77,24.03,Organic Olive Oil 750ml,BrandD,Walmart,02
2024-12-20T21:00:00Z,11.7,14.41,11.7,Extra Virgin Olive Oil 500ml,BrandC,Metro,12
2024-11-06T07:00:00Z,5.43,6.31,3.62,Classic Olive Oil 2L,BrandC,Metro,11
2024-11-18T06:00:00Z,29.69,39.7,59.38,Extra Virgin Olive Oil 500ml,BrandE,Metro,11
2024-11-29T18:00:00Z,6.32,7.29,3.16,Extra Virgin Olive Oil 500ml,BrandA,Walmart,11
2024-03-22T11:00:00Z,33.79,39.52,16.9,Extra Virgin Olive Oil 500ml,BrandB,Metro,03
2024-12-06T11:00:00Z,36.62,49.59,36.62,Classic Olive Oil 2L,BrandE,Loblaws,12
2024-08-11T05:00:00Z,10.83,11.35,10.83,Extra Virgin Olive Oil 500ml,BrandA,Loblaws,08
2024-09-02T03:00:00Z,12.27,14.53,24.54,Classic Olive Oil 2L,BrandC,Walmart,09
2024-06-19T12:00:00Z,32.86,34.07,21.91,Pure Olive Oil 1L,BrandA,Walmart,06
2024-02-11T00:00:00Z,36.26,42.35,72.52,Organic Olive Oil 750ml,BrandA,Metro,02
2024-09-14T14:00:00Z,13.53,19.51,13.53,Extra Virgin Olive Oil 500ml,BrandE,Walmart,09
2024-02-11T01:00:00Z,20.16,29.65,20.16,Classic Olive Oil 2L,BrandD,Walmart,02
2024-06-25T08:00:00Z,18.94,23.71,18.94,Organic Olive Oil 750ml,BrandD,Walmart,06
2024-03-06T23:00:00Z,28.3,36.42,14.15,Organic Olive Oil 750ml,BrandC,Walmart,03
2024-07-14T04:00:00Z,15.68,22.99,10.45,Extra Virgin Olive Oil 500ml,BrandA,Metro,07
2024-11-23T15:00:00Z,32.72,43.85,32.72,Organic Olive Oil 750ml,BrandE,Loblaws,11
2024-07-17T23:00:00Z,16.94,24.9,33.88,Extra Virgin Olive Oil 500ml,BrandE,Walmart,07
2024-10-03T19:00:00Z,14.01,18.35,28.02,Premium Olive Oil 1L,BrandA,Walmart,10
2024-02-11T00:00:00Z,5.14,5.42,3.43,Premium Olive Oil 1L,BrandB,Walmart,02
2024-12-21T15:00:00Z,18.31,24.35,12.21,Extra Virgin Olive Oil 500ml,BrandA,Metro,12
2024-11-07T13:00:00Z,25.98,31.02,12.99,Pure Olive Oil 1L,BrandE,Loblaws,11
2024-04-14T10:00:00Z,16.87,24.39,16.87,Organic Olive Oil 750ml,BrandA,Walmart,04
2024-01-09T02:00:00Z,11.15,16.29,7.43,Organic Olive Oil 750ml,BrandA,Metro,01
2024-05-10T03:00:00Z,39.91,47.35,19.95,Pure Olive Oil 1L,BrandA,Loblaws,05
2024-10-05T05:00:00Z,14.29,16.63,14.29,Premium Olive Oil 1L,BrandA,Metro,10
2024-07-12T17:00:00Z,24.26,30.51,48.52,Extra Virgin Olive Oil 500ml,BrandB,Walmart,07
2024-03-29T19:00:00Z,9.73,12.88,4.86,Pure Olive Oil 1L,BrandD,Metro,03
2024-05-24T07:00:00Z,28.86,42.87,57.72,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,05
2024-06-13T12:00:00Z,20.76,24.49,41.52,Extra Virgin Olive Oil 500ml,BrandD,Metro,06
2024-11-19T04:00:00Z,17.83,19.24,17.83,Extra Virgin Olive Oil 500ml,BrandB,Loblaws,11
2024-04-24T21:00:00Z,18.51,25.84,12.34,Premium Olive Oil 1L,BrandD,Walmart,04
2024-06-08T16:00:00Z,19.16,27.61,9.58,Pure Olive Oil 1L,BrandC,Walmart,06
2024-01-30T15:00:00Z,33.96,43.08,67.92,Classic Olive Oil 2L,BrandB,Loblaws,01
2024-08-11T17:00:00Z,37.06,39.4,18.53,Pure Olive Oil 1L,BrandE,Loblaws,08
2024-05-25T20:00:00Z,31.64,36.7,63.28,Extra Virgin Olive Oil 500ml,BrandA,Metro,05
2024-05-07T20:00:00Z,17.86,26.32,11.91,Premium Olive Oil 1L,BrandB,Metro,05
2024-12-29T07:00:00Z,29.2,35.2,14.6,Extra Virgin Olive Oil 500ml,BrandC,Metro,12
2024-06-17T22:00:00Z,22.78,23.95,22.78,Organic Olive Oil 750ml,BrandD,Walmart,06
2024-01-20T16:00:00Z,5.68,6.51,11.36,Classic Olive Oil 2L,BrandA,Walmart,01
2024-09-11T01:00:00Z,27.64,28.32,27.64,Premium Olive Oil 1L,BrandE,Metro,09
2024-02-17T20:00:00Z,26.81,32.23,17.87,Extra Virgin Olive Oil 500ml,BrandE,Metro,02
2024-03-25T20:00:00Z,16.65,23.48,16.65,Extra Virgin Olive Oil 500ml,BrandD,Loblaws,03
2024-04-06T08:00:00Z,5.92,5.41,3.95,Classic Olive Oil 2L,BrandC,Loblaws,04
2024-11-18T12:00:00Z,39.12,54.75,26.08,Pure Olive Oil 1L,BrandB,Metro,11
2024-12-26T09:00:00Z,39.69,41.8,39.69,Pure Olive Oil 1L,BrandE,Loblaws,12
2024-02-14T21:00:00Z,7.68,10.18,7.68,Premium Olive Oil 1L,BrandE,Loblaws,02
2024-07-27T22:00:00Z,23.83,30.93,23.83,Organic Olive Oil 750ml,BrandA,Metro,07
2024-08-23T17:00:00Z,39.22,49.6,19.61,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,08
2024-09-22T18:00:00Z,8.84,11.23,17.68,Organic Olive Oil 750ml,BrandB,Walmart,09
2024-02-24T16:00:00Z,17.69,22.24,8.85,Organic Olive Oil 750ml,BrandC,Loblaws,02
2024-01-08T16:00:00Z,22.49,29.37,11.24,Organic Olive Oil 750ml,BrandB,Loblaws,01
2024-11-26T12:00:00Z,36.94,54.97,24.63,Pure Olive Oil 1L,BrandA,Metro,11
2024-01-18T04:00:00Z,25.02,35.09,25.02,Pure Olive Oil 1L,BrandC,Loblaws,01
2024-07-15T18:00:00Z,5.8,5.48,5.8,Organic Olive Oil 750ml,BrandE,Walmart,07
2024-02-25T12:00:00Z,34.93,42.51,17.46,Pure Olive Oil 1L,BrandA,Walmart,02
2024-07-22T02:00:00Z,34.07,33.97,34.07,Extra Virgin Olive Oil 500ml,BrandC,Walmart,07
2024-01-24T11:00:00Z,35.74,41.42,35.74,Premium Olive Oil 1L,BrandD,Loblaws,01
2024-06-07T06:00:00Z,33.34,32.01,66.68,Classic Olive Oil 2L,BrandC,Metro,06
2024-06-26T07:00:00Z,5,4.82,10,Organic Olive Oil 750ml,BrandD,Walmart,06
2024-05-29T04:00:00Z,8.56,11.98,4.28,Premium Olive Oil 1L,BrandA,Metro,05
2024-05-10T08:00:00Z,34.22,50.39,22.81,Extra Virgin Olive Oil 500ml,BrandD,Metro,05
2024-10-02T00:00:00Z,12.74,14.55,8.49,Premium Olive Oil 1L,BrandA,Metro,10
2024-07-15T08:00:00Z,6.06,6.79,4.04,Pure Olive Oil 1L,BrandB,Walmart,07
2024-12-22T04:00:00Z,25.19,29.45,25.19,Organic Olive Oil 750ml,BrandC,Metro,12
2024-01-12T14:00:00Z,31.49,36.54,20.99,Premium Olive Oil 1L,BrandA,Metro,01
2024-06-30T21:00:00Z,35.58,52.57,71.16,Pure Olive Oil 1L,BrandB,Metro,06
2024-10-09T21:00:00Z,7.11,9.56,14.22,Organic Olive Oil 750ml,BrandC,Loblaws,10
2024-09-27T10:00:00Z,12.76,13.64,12.76,Extra Virgin Olive Oil 500ml,BrandB,Walmart,09
2024-05-13T08:00:00Z,19.49,23.28,19.49,Organic Olive Oil 750ml,BrandC,Metro,05
2024-04-04T09:00:00Z,19.4,28.85,38.8,Pure Olive Oil 1L,BrandE,Metro,04
2024-01-26T17:00:00Z,25.28,31.36,25.28,Premium Olive Oil 1L,BrandC,Metro,01
2024-03-20T08:00:00Z,37.97,35.98,37.97,Extra Virgin Olive Oil 500ml,BrandA,Walmart,03
2024-12-21T08:00:00Z,39.57,37.02,26.38,Pure Olive Oil 1L,BrandB,Loblaws,12
2024-01-23T10:00:00Z,9.54,13.77,19.08,Extra Virgin Olive Oil 500ml,BrandC,Metro,01
2024-05-31T00:00:00Z,14.62,20.39,7.31,Premium Olive Oil 1L,BrandE,Loblaws,05
2024-10-13T03:00:00Z,33.99,43.37,17,Classic Olive Oil 2L,BrandC,Metro,10
2024-05-24T05:00:00Z,39.69,40.81,39.69,Extra Virgin Olive Oil 500ml,BrandB,Metro,05
2024-08-22T01:00:00Z,28.56,31.68,28.56,Organic Olive Oil 750ml,BrandB,Metro,08
2024-10-10T22:00:00Z,7.71,7.59,5.14,Classic Olive Oil 2L,BrandA,Walmart,10
2024-10-18T20:00:00Z,9.7,11.24,4.85,Classic Olive Oil 2L,BrandB,Metro,10
2024-10-10T08:00:00Z,16.83,22.96,33.66,Premium Olive Oil 1L,BrandA,Loblaws,10
2024-05-05T07:00:00Z,13.82,19.98,13.82,Organic Olive Oil 750ml,BrandE,Metro,05
2024-10-10T11:00:00Z,13.78,19.24,13.78,Classic Olive Oil 2L,BrandE,Loblaws,10
2024-04-02T02:00:00Z,32.41,47.76,32.41,Pure Olive Oil 1L,BrandD,Loblaws,04
2024-04-05T05:00:00Z,11.08,12.47,11.08,Organic Olive Oil 750ml,BrandA,Loblaws,04
2024-08-29T08:00:00Z,25.94,24.07,12.97,Classic Olive Oil 2L,BrandE,Loblaws,08
2024-11-16T03:00:00Z,29.21,31.36,58.42,Pure Olive Oil 1L,BrandB,Metro,11
2024-04-09T01:00:00Z,37.3,55.94,24.87,Pure Olive Oil 1L,BrandA,Metro,04
2024-08-17T12:00:00Z,29.15,34.08,14.57,Classic Olive Oil 2L,BrandC,Metro,08
2024-06-24T12:00:00Z,14.58,21.83,9.72,Premium Olive Oil 1L,BrandA,Loblaws,06
2024-11-22T01:00:00Z,5.38,7.13,10.76,Organic Olive Oil 750ml,BrandC,Loblaws,11
2024-03-12T01:00:00Z,6.51,7.03,6.51,Premium Olive Oil 1L,BrandD,Walmart,03
2024-11-24T06:00:00Z,10.88,15.72,7.25,Premium Olive Oil 1L,BrandD,Walmart,11
2024-12-02T16:00:00Z,34.84,41.27,34.84,Extra Virgin Olive Oil 500ml,BrandE,Loblaws,12
2024-02-11T03:00:00Z,6.61,9.18,13.22,Pure Olive Oil 1L,BrandD,Metro,02
2024-11-28T20:00:00Z,14.5,15.26,9.67,Premium Olive Oil 1L,BrandB,Loblaws,11
2024-07-19T06:00:00Z,36.11,53.26,18.06,Organic Olive Oil 750ml,BrandE,Loblaws,07
2024-08-20T19:00:00Z,24.18,28.48,24.18,Pure Olive Oil 1L,BrandA,Walmart,08
2024-06-07T16:00:00Z,33.17,32.44,16.59,Pure Olive Oil 1L,BrandB,Walmart,06
2024-11-05T09:00:00Z,38.5,52.44,25.67,Premium Olive Oil 1L,BrandB,Loblaws,11
2024-04-02T16:00:00Z,29.14,28.71,58.28,Extra Virgin Olive Oil 500ml,BrandE,Walmart,04
2024-02-18T12:00:00Z,19.04,23.32,12.69,Pure Olive Oil 1L,BrandC,Loblaws,02
2024-09-10T10:00:00Z,38.99,50.47,25.99,Classic Olive Oil 2L,BrandC,Metro,09
2024-11-14T01:00:00Z,37.88,47.19,18.94,Classic Olive Oil 2L,BrandE,Loblaws,11
2024-04-02T04:00:00Z,23.14,27.84,15.43,Pure Olive Oil 1L,BrandD,Loblaws,04
2024-03-08T03:00:00Z,9.77,14.25,9.77,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,03
2024-06-09T12:00:00Z,26.94,27.91,26.94,Organic Olive Oil 750ml,BrandA,Walmart,06
2024-08-19T20:00:00Z,33.79,30.69,33.79,Classic Olive Oil 2L,BrandC,Walmart,08
2024-01-30T13:00:00Z,9.77,10.42,4.88,Organic Olive Oil 750ml,BrandA,Metro,01
2024-12-01T01:00:00Z,25.91,28.16,25.91,Classic Olive Oil 2L,BrandB,Loblaws,12
2024-02-22T09:00:00Z,39.4,56.75,26.27,Pure Olive Oil 1L,BrandA,Walmart,02
2024-04-12T21:00:00Z,13.07,16.13,6.54,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,04
2024-03-28T23:00:00Z,19.61,19.24,13.07,Organic Olive Oil 750ml,BrandD,Metro,03
2024-09-16T07:00:00Z,8.51,8.77,5.67,Organic Olive Oil 750ml,BrandA,Loblaws,09
2024-05-06T10:00:00Z,14.75,14.02,7.38,Organic Olive Oil 750ml,BrandC,Metro,05
2024-04-07T10:00:00Z,23.57,33.31,15.71,Classic Olive Oil 2L,BrandB,Loblaws,04
2024-10-14T20:00:00Z,15.99,14.95,10.66,Extra Virgin Olive Oil 500ml,BrandE,Walmart,10
2024-02-26T02:00:00Z,26.02,28.54,13.01,Classic Olive Oil 2L,BrandD,Loblaws,02
2024-10-02T22:00:00Z,39.55,47.46,39.55,Classic Olive Oil 2L,BrandE,Metro,10
2024-11-17T23:00:00Z,26.32,28.96,26.32,Organic Olive Oil 750ml,BrandE,Metro,11
2024-07-27T08:00:00Z,10.1,14.4,10.1,Premium Olive Oil 1L,BrandA,Metro,07
2024-08-13T06:00:00Z,29.65,42.39,59.3,Organic Olive Oil 750ml,BrandA,Loblaws,08
2024-08-31T21:00:00Z,28.77,41.45,57.54,Organic Olive Oil 750ml,BrandA,Loblaws,08
2024-07-01T19:00:00Z,16.29,22.46,16.29,Organic Olive Oil 750ml,BrandA,Metro,07
2024-08-10T17:00:00Z,19.82,28.56,39.64,Premium Olive Oil 1L,BrandA,Metro,08
2024-03-12T03:00:00Z,15.66,18.23,15.66,Premium Olive Oil 1L,BrandC,Loblaws,03
2024-07-14T20:00:00Z,34.15,38.88,68.3,Extra Virgin Olive Oil 500ml,BrandB,Loblaws,07
2024-03-17T10:00:00Z,25.78,28.95,51.56,Organic Olive Oil 750ml,BrandD,Metro,03
2024-05-09T14:00:00Z,33.25,40.47,33.25,Premium Olive Oil 1L,BrandD,Metro,05
2024-09-19T20:00:00Z,15.29,14.44,7.64,Organic Olive Oil 750ml,BrandB,Metro,09
2024-07-15T10:00:00Z,9.94,13.22,6.63,Pure Olive Oil 1L,BrandA,Loblaws,07
2024-12-10T18:00:00Z,36.1,37.75,18.05,Premium Olive Oil 1L,BrandC,Metro,12
2024-05-24T11:00:00Z,5.29,7.44,2.64,Classic Olive Oil 2L,BrandE,Loblaws,05
2024-11-03T08:00:00Z,24.92,37.31,49.84,Organic Olive Oil 750ml,BrandC,Metro,11
2024-06-22T19:00:00Z,38.86,37.42,19.43,Pure Olive Oil 1L,BrandB,Loblaws,06
2024-08-05T05:00:00Z,14.42,17.17,14.42,Organic Olive Oil 750ml,BrandD,Loblaws,08
2024-11-03T16:00:00Z,39.44,51.67,26.29,Premium Olive Oil 1L,BrandE,Walmart,11
2024-10-22T09:00:00Z,6.24,8.68,12.48,Organic Olive Oil 750ml,BrandE,Loblaws,10
2024-09-28T13:00:00Z,14.03,19.07,14.03,Classic Olive Oil 2L,BrandD,Loblaws,09
2024-03-31T02:00:00Z,14.1,16.3,7.05,Premium Olive Oil 1L,BrandE,Walmart,03
2024-08-17T00:00:00Z,38.19,55.82,76.38,Pure Olive Oil 1L,BrandD,Loblaws,08
2024-11-14T00:00:00Z,39.29,52.55,19.64,Pure Olive Oil 1L,BrandD,Loblaws,11
2024-01-29T09:00:00Z,30.7,33.84,20.47,Extra Virgin Olive Oil 500ml,BrandD,Walmart,01
2024-10-22T01:00:00Z,15.06,17.88,15.06,Pure Olive Oil 1L,BrandA,Metro,10
2024-03-06T01:00:00Z,19.31,28.57,12.87,Pure Olive Oil 1L,BrandB,Walmart,03
2024-09-29T12:00:00Z,12.06,17.47,8.04,Classic Olive Oil 2L,BrandD,Loblaws,09
2024-06-07T21:00:00Z,31.83,33,31.83,Pure Olive Oil 1L,BrandD,Metro,06
2024-06-17T19:00:00Z,31.01,33.63,31.01,Premium Olive Oil 1L,BrandD,Walmart,06
2024-12-06T15:00:00Z,22.45,24.87,11.22,Premium Olive Oil 1L,BrandB,Metro,12
2024-08-19T22:00:00Z,28.47,26.37,28.47,Organic Olive Oil 750ml,BrandA,Loblaws,08
2024-02-26T17:00:00Z,31.34,46.33,62.68,Premium Olive Oil 1L,BrandC,Loblaws,02
2024-03-30T17:00:00Z,32.09,44.58,64.18,Organic Olive Oil 750ml,BrandD,Metro,03
2024-06-13T22:00:00Z,26.18,34.16,13.09,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,06
2024-09-13T10:00:00Z,18.67,21.35,37.34,Extra Virgin Olive Oil 500ml,BrandB,Walmart,09
2024-07-15T16:00:00Z,28.49,30.19,56.98,Organic Olive Oil 750ml,BrandE,Metro,07
2024-01-17T01:00:00Z,35.42,51.61,35.42,Classic Olive Oil 2L,BrandE,Walmart,01
2024-12-13T04:00:00Z,20.27,22.7,20.27,Organic Olive Oil 750ml,BrandD,Loblaws,12
2024-01-02T06:00:00Z,9.22,11.34,4.61,Premium Olive Oil 1L,BrandA,Loblaws,01
2024-06-23T13:00:00Z,26.66,32.33,53.32,Classic Olive Oil 2L,BrandB,Loblaws,06
2024-06-06T17:00:00Z,21.82,31.77,14.55,Extra Virgin Olive Oil 500ml,BrandA,Loblaws,06
2024-11-12T03:00:00Z,37.34,44.85,24.89,Classic Olive Oil 2L,BrandE,Loblaws,11
2024-12-14T17:00:00Z,13.42,17.21,6.71,Premium Olive Oil 1L,BrandE,Metro,12
2024-08-18T11:00:00Z,32.18,33.5,32.18,Extra Virgin Olive Oil 500ml,BrandB,Loblaws,08
2024-07-11T11:00:00Z,31.32,35.02,31.32,Pure Olive Oil 1L,BrandE,Walmart,07
2024-08-25T09:00:00Z,28.68,41.19,28.68,Pure Olive Oil 1L,BrandE,Loblaws,08
2024-01-09T11:00:00Z,24.31,33.05,48.62,Extra Virgin Olive Oil 500ml,BrandD,Walmart,01
2024-05-15T06:00:00Z,25.93,35.71,12.96,Pure Olive Oil 1L,BrandC,Metro,05
2024-04-10T20:00:00Z,35.33,38.64,35.33,Premium Olive Oil 1L,BrandB,Metro,04
2024-10-09T21:00:00Z,22.34,21.35,44.68,Pure Olive Oil 1L,BrandB,Walmart,10
2024-11-13T23:00:00Z,39.31,57.88,26.21,Premium Olive Oil 1L,BrandA,Walmart,11
2024-04-11T07:00:00Z,7.43,8.69,14.86,Classic Olive Oil 2L,BrandC,Walmart,04
2024-08-06T09:00:00Z,24.46,30.21,12.23,Extra Virgin Olive Oil 500ml,BrandE,Metro,08
2024-11-11T06:00:00Z,11.63,11.66,5.82,Extra Virgin Olive Oil 500ml,BrandE,Loblaws,11
2024-04-08T10:00:00Z,15.38,14.04,7.69,Premium Olive Oil 1L,BrandC,Metro,04
2024-01-11T18:00:00Z,34.44,35.37,17.22,Classic Olive Oil 2L,BrandE,Metro,01
2024-09-06T08:00:00Z,12.18,13.29,6.09,Pure Olive Oil 1L,BrandC,Walmart,09
2024-08-13T08:00:00Z,25.4,31.74,50.8,Organic Olive Oil 750ml,BrandB,Metro,08
2024-10-27T15:00:00Z,18.87,17.56,37.74,Organic Olive Oil 750ml,BrandD,Metro,10
2024-02-25T04:00:00Z,15.69,16.47,7.84,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,02
2024-06-20T01:00:00Z,21.53,19.57,21.53,Extra Virgin Olive Oil 500ml,BrandC,Loblaws,06
2024-06-26T17:00:00Z,31.01,31.97,15.51,Classic Olive Oil 2L,BrandB,Walmart,06
2024-05-19T15:00:00Z,39.19,47.58,78.38,Premium Olive Oil 1L,BrandE,Loblaws,05
2024-11-09T03:00:00Z,10.47,11.5,20.94,Extra Virgin Olive Oil 500ml,BrandE,Metro,11
2024-06-18T14:00:00Z,9.53,12.82,6.35,Premium Olive Oil 1L,BrandE,Metro,06
